"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.01.2023","1.042,00","1.040,00","1.046,00","1.036,20","390,31K","0,19%"
"12.01.2023","1.040,00","1.044,40","1.045,00","1.038,00","341,65K","-0,40%"
"11.01.2023","1.044,20","1.041,40","1.044,80","1.030,60","847,39K","0,44%"
"10.01.2023","1.039,60","1.052,00","1.052,60","1.035,20","749,32K","-1,16%"
"09.01.2023","1.051,80","1.054,40","1.059,60","1.048,20","408,61K","-0,08%"
"06.01.2023","1.052,60","1.050,40","1.054,00","1.038,60","339,23K","-0,04%"
"05.01.2023","1.053,00","1.060,00","1.062,00","1.050,00","289,17K","-0,74%"
"04.01.2023","1.060,80","1.072,00","1.078,60","1.058,60","519,88K","-1,10%"
"03.01.2023","1.072,60","1.078,40","1.087,00","1.071,00","357,14K","-0,54%"
"30.12.2022","1.078,40","1.066,00","1.080,00","1.056,40","743,17K","1,33%"
"29.12.2022","1.064,20","1.051,40","1.066,00","1.050,00","405,83K","1,24%"
"28.12.2022","1.051,20","1.047,80","1.055,00","1.047,80","592,15K","-0,08%"
"27.12.2022","1.052,00","1.055,00","1.058,40","1.045,20","701,80K","-0,04%"
"26.12.2022","1.052,40","1.056,20","1.059,80","1.046,00","754,23K","0,42%"
"23.12.2022","1.048,00","1.049,00","1.051,60","1.033,20","754,75K","-0,10%"
"22.12.2022","1.049,00","1.065,00","1.074,80","1.043,60","967,19K","-1,13%"
"21.12.2022","1.061,00","1.059,80","1.071,00","1.045,60","1,27M","0,72%"
"20.12.2022","1.053,40","1.010,40","1.057,00","1.004,20","1,36M","4,24%"
"19.12.2022","1.010,60","1.017,20","1.024,20","1.000,00","751,18K","-0,53%"
"16.12.2022","1.016,00","1.007,40","1.017,00","1.003,20","565,06K","0,91%"
"15.12.2022","1.006,80","1.026,60","1.027,60","1.005,00","1,04M","-2,16%"
"14.12.2022","1.029,00","1.036,00","1.036,00","1.027,20","414,51K","-0,58%"
"13.12.2022","1.035,00","1.043,00","1.044,00","1.022,40","672,29K","-0,56%"
"12.12.2022","1.040,80","1.044,80","1.044,80","1.031,60","567,54K","-0,17%"
"09.12.2022","1.042,60","1.050,40","1.050,40","1.036,40","473,40K","-0,53%"
"08.12.2022","1.048,20","1.041,80","1.060,00","1.035,60","778,09K","1,18%"
"07.12.2022","1.036,00","1.033,00","1.039,20","1.026,80","717,53K","0,10%"
"06.12.2022","1.035,00","1.048,00","1.048,00","1.032,00","633,13K","-0,96%"
"05.12.2022","1.045,00","1.048,60","1.057,20","1.040,00","915,07K","-0,10%"
"02.12.2022","1.046,00","1.059,80","1.059,80","1.040,20","685,20K","-0,89%"
"01.12.2022","1.055,40","1.043,00","1.065,00","1.035,40","1,36M","1,48%"
"30.11.2022","1.040,00","1.040,00","1.041,00","1.028,00","591,20K","0,02%"
"29.11.2022","1.039,80","1.042,60","1.047,60","1.035,00","875,90K","0,19%"
"28.11.2022","1.037,80","1.058,00","1.058,00","1.032,20","1,21M","-2,59%"
"25.11.2022","1.065,40","1.076,80","1.077,80","1.060,00","488,64K","-1,17%"
"24.11.2022","1.078,00","1.090,60","1.091,60","1.073,00","484,30K","-1,06%"
